coluna,media,mediana,moda,q1,q3,desvio_padrao,minimo,maximo
numero_de_operacoes,2769.268634319557,9.0,-1.0,-1.0,80.0,51603.991467341475,-1.0,12637272.0
a_vencer_ate_90_dias,4074896.888374803,27280.89,0.0,2001.8975,308950.38,117912638.39815131,0.0,105264717252.0
a_vencer_de_91_ate_360_dias,5092460.421934483,33017.035,0.0,445.49,421811.945,84770987.57276319,0.0,45875175503.49
a_vencer_de_361_ate_1080_dias,5717029.433903536,11976.189999999999,0.0,0.0,305480.16,69225838.263719,0.0,11746506754.27
a_vencer_de_1081_ate_1800_dias,2562728.3485616525,0.0,0.0,0.0,60346.4975,41291519.49312198,0.0,8010778646.14
a_vencer_de_1801_ate_5400_dias,3350523.0094214976,0.0,0.0,0.0,2736.6125,99307612.81521995,0.0,21614780478.42
a_vencer_acima_de_5400_dias,900332.6525748083,0.0,0.0,0.0,0.0,38904231.39817074,0.0,9394916067.71
carteira_a_vencer,21697970.754770778,188859.31,0.0,14750.0325,1927033.1125,307149982.00040555,0.0,106543454020.57
vencido_de_15_ate_90_dias,194548.41467491217,0.0,0.0,0.0,13527.455,2158773.316121851,0.0,817669323.35
vencido_acima_de_90_dias,442032.15826440585,0.0,0.0,0.0,27557.357500000002,5123851.742008807,0.0,1002295001.62
carteira_vencida,636580.572939318,1124.9250000000002,0.0,0.0,55315.495,6717604.392616341,0.0,1158353208.23
carteira_ativa,22334551.3277101,259640.375,1000.0,28901.697500000002,2311547.8525,308699181.99531966,1.01,106543454020.57
carteira_inadimplencia,852512.2748110918,0.0,0.0,0.0,60292.31,8073788.276695864,0.0,1164300127.08
ativo_problematico,1655057.5572762832,2823.22,0.0,0.0,141079.6675,21181714.685335357,0.0,3867065579.83
